Before removing stop-words: Number of words in transcript = 9488
After removing stop-words:
      + Number of words in transcript= 5608
      + Number of different words in transcript = 926
1) forward :1
2) nine :1
3) welcome :1
4) sky :1
5) fifth :1
6) holidays :1
7) fault :1
8) president :1
9) gone :1
10) tarantino :1
11) quentin :1
12) fan :1
13) huge :1
14) sad :1
15) alright :1
16) whiteboard :1
17) possible :1
18) term :1
19) hesitating :1
20) convinced :1
21) throw :1
22) di :1
23) contrast :1
24) attention :1
25) catch :1
26) background :1
27) title :1
28) middle :1
29) join :1
30) section :1
31) rid :1
32) mix :1
33) although :1
34) separate :1
35) difficult :1
36) contrary :1
37) quotations :1
38) cita :1
39) principle :1
40) crazy :1
41) sounds :1
42) explaining :1
43) introduces :1
44) involve :1
45) subscription :1
46) subscrip :1
47) annual :1
48) pricing :1
49) suary :1
50) shall :1
51) design :1
52) marvellous :1
53) fun :1
54) modern :1
55) ethnographic :1
56) surrealistic :1
57) journey :1
58) sp :1
59) actu :1
60) edited :1
61) took :1
62) buscemi :1
63) turturro :1
64) goodman :1
65) jeff :1
66) bowling :1
67) obsessed :1
68) suburb :1
69) fellow :1
70) living :1
71) nothing :1
72) pot :1
73) smoking :1
74) pronounce :1
75) book :1
76) hawks :1
77) howard :1
78) production :1
79) inspired :1
80) impossible :1
81) sell :1
82) cruelty :1
83) intentions :1
84) zetajones :1
85) catherine :1
86) fargo :1
87) partially :1
88) moving :1
89) form :1
90) controversies :1
91) created :1
92) hide :1
93) mode :1
94) horous :1
95) treated :1
96) arrives :1
97) ahha :1
98) purpose :1
99) engish :1
100) included :1
101) running :1
102) among :1
103) individual :1
104) over :1
105) dimension :1
106) moral :1
107) nonviolent :1
108) moralistic :1
109) truth :1
110) sacrifice :1
111) shooting :1
112) heavy :1
113) defend :1
114) graveyard :1
115) han :1
116) send :1
117) dinally :1
118) fied :1
119) simple :1
120) damon :1
121) matt :1
122) ref :1
123) front :1
124) stu :1
125) room :1
126) talk :1
127) introduction :1
128) serve :1
129) technical :1
130) obviously :1
131) tvs :1
132) broadcasting :1
133) complain :1
134) reenhanced :1
135) docentaries :1
136) saturation :1
137) trivia :1
138) grey :1
139) dor :1
140) palme :1
141) cannes :1
142) schin :1
143) etcetera :1
144) cinematography :1
145) cimena :1
146) prizes :1
147) redux :1
148) nearly :1
149) somewhere :1
150) camels :1
151) camera :1
152) used :1
153) art :1
154) normandy :1
155) especially :1
156) course :1
157) member :1
158) need :1
159) government :1
160) suer :1
161) nazis :1
162) against :1
163) hanistic :1
164) theme :1
165) earlier :1
166) correct :1
167) states :1
168) outside :1
169) focus :1
170) copy :1
171) alternates :1
172) photocopies :1
173) trier :1
174) von :1
175) lars :1
176) movement :1
177) swedish :1
178) festen :1
179) rouge :1
180) coleurs :1
181) trois :1
182) eleven :1
183) mononoke :1
184) princess :1
185) confidential :1
186) everywhere :1
187) chinese :1
188) predominantly :1
189) site :1
190) regarding :1
191) enjoy :1
192) bringing :1
193) mixture :1
194) oth :1
195) wo :1
196) relaxed :1
197) topic :1
198) supposedly :1
199) fantasises :1
200) teenage :1
201) sex :1
202) love :1
203) job :1
204) naked :1
205) normal :1
206) issues :1
207) cutting :1
208) pretty :1
209) suburban :1
210) psychological :1
211) irony :1
212) extraordinary :1
213) penetrating :1
214) deep :1
215) projector :1
216) outline :1
217) indeed :1
218) young :1
219) age :1
220) twelve :1
221) ago :1
222) entirely :1
223) vaguely :1
224) active :1
225) scary :1
226) hop :1
227) often :1
228) ps :1
229) foster :1
230) jodie :1
231) freak :1
232) manages :1
233) nasty :1
234) psychotic :1
235) games :1
236) head :1
237) behaviour :1
238) decrypt :1
239) real :1
240) woman :1
241) assigned :1
242) mea :1
243) scaring :1
244) visitors :1
245) godfather :1
246) nobody :1
247) subject :1
248) descriptive :1
249) affranchis :1
250) les :1
251) huh :1
252) buff :1
253) quality :1
254) niro :1
255) de :1
256) robert :1
257) gangster :1
258) masterpiece :1
259) bullet :1
260) goodfellas :1
261) till :1
262) might :1
263) none :1
264) songs :1
265) neither :1
266) gorgeous :1
267) wou :1
268) woul :1
269) hand :1
270) discover :1
271) fully :1
272) ple :1
273) structure :1
274) perspective :1
275) track :1
276) encouraging :1
277) po :1
278) becomes :1
279) meanwhile :1
280) wednesday :1
281) daily :1
282) defini :1
283) nineteen :1
284) according :1
285) seventeen :1
286) jewish :1
287) endured :1
288) drawback :1
289) emotional :1
290) radically :1
291) events :1
292) major :1
293) im :1
294) occasion :1
295) whether :1
296) danger :1
297) ge :1
298) powerful :1
299) better :1
300) nicer :1
301) ra :1
302) based :1
303) sent :1
304) pre :1
305) unless :1
306) winner :1
307) competition :1
