	Word	PoS	FrCo		LogLike	FrTO
	oh	Int	9884	+	33062.1	1746
	yeah	Int	13955	+	32679.5	3741
	the	Det	27351	-	28176.6	47987
	she	Pron	8010	+	25899.0	1485
	I	Pron	39817	+	25333.8	22356
	of*	Prep	7989	-	22702.0	19038
	~n't	Neg	18418	+	21862.7	7967
	no	Int	7830	+	18948.4	2034
	he	Pron	11465	+	16728.7	4412
	that	Conj	3410	-	15927.8	9870
	's	Verb	24009	+	15738.7	13345
	er	Uncl	5075	-	10677.0	10913
	you	Pron	32085	+	10086.5	21764
	it	Pron	30417	+	9928.5	20465
	said	Verb	4617	+	9714.3	1363
	mm	Int	5202	+	9146.9	1768
	got	Verb	7435	+	8005.0	3377
	do	Verb	12854	+	7687.4	7365
	well	Adv	7713	+	7540.0	3665
	which	DetP	818	-	7093.9	3159
	cos*	Conj	2705	+	6251.3	734
	to	Inf	11353	-	6231.1	17347
	in	Prep	8506	-	6113.4	13731
	mum	NoC	951	+	5615.5	39
	erm	Uncl	3946	-	5387.6	7454
	'll	VMod	4559	+	5040.5	2044
	~na*	Inf	2372	+	5035.0	695
	know	Verb	7527	+	4883.2	4198
	her	Pron	1531	+	4740.9	301
	we	Pron	7869	-	4675.5	12212
	ah	Int	1394	+	4663.1	246
	~n~*	Neg	836	+	4617.3	46
	ooh	Int	917	+	4268.0	87
	did	Verb	4805	+	4247.5	2386
	go	Verb	4192	+	4105.6	1990
	and	Conj	21569	-	3800.6	27701
	by	Prep	783	-	3652.4	2265
	gon~	Verb	1918	+	3526.4	631
	as	Prep	298	-	3439.4	1339
	me	Pron	3536	+	3378.4	1698
	people	NoC	1114	-	3358.2	2712
	what	DetP	9138	+	3170.9	6065
	get	Verb	4712	+	3118.5	2611
	dad	NoC	598	+	3082.8	42
	bloody	Adj	559	+	3002.4	34
	him	Pron	2111	+	2996.7	826
	there	Adv	4011	+	2989.1	2130
	nice	Adj	1101	+	2901.9	262
	in~*	Verb	452	+	2859.5	13
	one	Pron	3542	+	2795.4	1841
	mummy	NoC	388	+	2790.6	2
	council	NoC	65	-	2746.7	670
	ha	Int	499	+	2728.2	29
	ai~*	Verb	500	+	2697.7	30
	like	Adv	1332	+	2666.6	410
	from	Prep	1315	-	2593.2	2769
	ca~	VMod	1919	+	2503.5	789
	Mr	NoC	156	-	2498.2	845
	as	Conj	851	-	2457.1	2040
	their	Det	649	-	2440.8	1719
	also	Adv	160	-	2370.4	827
	is	Verb	8343	-	2368.0	11409
	alright*	Adj	714	+	2355.2	129
	government	NoC	28	-	2292.2	478
	county	NoC	14	-	2269.6	425
	very	Adv	1533	-	2227.4	2947
	on	Adv	2618	+	2214.6	1323
	eh	Int	461	+	2202.0	41
	thought	Verb	1361	+	2191.3	492
	that	DetP	16329	+	2121.2	12831
	our	Det	666	-	2117.8	1655
	policy	NoC	9	-	2064.4	369
	local	Adj	41	-	2053.7	479
	fucking	Adj	278	+	1998.3	2
	an	Det	1149	-	1985.6	2323
	to	Prep	5575	-	1980.5	7890
	~ta*	Inf	628	+	1979.9	120
	members	NoC	14	-	1931.7	368
	be	Verb	4558	-	1914.5	6633
	may	VMod	151	-	1866.5	705
	'm	Verb	3334	+	1865.4	1950
	wan~	Verb	473	+	1846.3	65
	up	Adv	3765	+	1836.0	2293
	would	VMod	2378	-	1826.9	3894
	point	NoC	258	-	1800.0	896
	her*	Det	1052	+	1793.5	365
	daddy	NoC	256	+	1782.7	3
	wo~	VMod	923	+	1741.9	298
	important	Adj	48	-	1718.6	439
	report	NoC	19	-	1707.6	350
	fucking	Adv	226	+	1677.8	0
	du~*	Verb	357	+	1669.7	33
	will	VMod	1244	-	1652.7	2332
	fact	NoC	177	-	1633.0	707
	want	Verb	2420	+	1623.0	1335
	like	Prep	2400	+	1604.7	1325
	~no*	Verb	332	+	1601.0	29
	though	Adv	709	+	1526.4	205
	nineteen	Num	111	-	1515.0	548
	alright*	Adv	703	+	1493.8	206
	of*	Verb	343	+	1487.2	38
	within	Prep	49	-	1442.2	392
	off	Adv	1243	+	1419.4	549
	chairman	NoC	5	-	1418.9	251
	area	NoC	112	-	1393.8	524
	eat	Verb	347	+	1337.9	49
	lovely	Adj	437	+	1306.4	90
	dear	Int	324	+	1297.5	42
	particular	Adj	35	-	1294.9	328
	look	Verb	1581	+	1293.6	810
	come	Verb	2303	+	1282.7	1349
	committee	NoC	25	-	1276.8	297
	in terms of	Prep	7	-	1262.4	235
	information	NoC	35	-	1259.9	323
	question	NoC	94	-	1259.6	459
	at	Prep	3274	-	1253.9	4691
	car	NoC	639	+	1245.0	201
	development	NoC	8	-	1241.7	233
	mind	Verb	454	+	1239.3	104
	goes	Verb	802	+	1227.7	299
	actually	Adv	790	-	1221.8	1546
	bloody	Adv	212	+	1207.5	10
	night	NoC	749	+	1207.4	270
	why	Adv	1551	+	1195.9	813
	put	Verb	2168	+	1181.1	1278
	just	Adv	4621	+	1171.3	3273
	has	Verb	1098	-	1160.7	1940
	mhm	Int	392	-	1158.2	947
	funny	Adj	321	+	1133.3	52
	mine	Pron	344	+	1127.9	63
	view	NoC	24	-	1126.5	269
	went	Verb	1302	+	1118.0	654
	into	Prep	670	-	1116.2	1339
	York	NoP	18	-	1110.0	246
	motion	NoC	4	-	1108.1	197
	plan	NoC	19	-	1103.3	248
	between	Prep	125	-	1096.2	485
	anyway	Adv	785	+	1094.7	311
	group	NoC	70	-	1078.9	372
	certainly	Adv	102	-	1071.4	434
	because*	Conj	1494	-	1071.1	2411
	councillor	NoC	2	-	1040.6	174
	ya	Pron	246	+	1035.9	29
	shit	NoC	160	+	1032.2	4
	authority	NoC	7	-	1030.3	194
	issue	NoC	5	-	1029.4	186
	against	Prep	79	-	1028.8	379
	my	Det	2857	+	1025.7	1882
	this	DetP	4734	-	1025.4	6237
	down	Adv	1934	+	1009.6	1155
	services	NoC	16	-	1003.5	222
	bet	Verb	211	+	1002.0	19
	union	NoC	15	-	984.9	216
	then	Adv	4173	+	980.7	2997
	more	Adv	342	-	979.5	818
	problems	NoC	61	-	965.1	329
	a	Det	17055	-	962.3	19719
	therefore	Adv	25	-	955.5	240
	pounds	NoC	306	-	954.5	754
	situation	NoC	37	-	954.5	271
	training	NoC	27	-	949.5	244
	meeting	NoC	39	-	947.5	273
	hello	Int	392	+	939.5	103
	bed	NoC	330	+	931.2	73
	've	Verb	5528	+	930.1	4192
	community	NoC	14	-	929.6	202
	areas	NoC	21	-	928.2	225
	clearly	Adv	6	-	926.6	176
	case	NoC	78	-	925.6	356
	land	NoC	34	-	921.7	257
	of course	Adv	288	-	920.5	717
	tea	NoC	322	+	918.1	70
	national	Adj	34	-	915.3	255
	city	NoC	23	-	911.3	226
	they	Pron	10434	+	911.1	8581
	see	Verb	3079	+	909.9	2116
	tomorrow	Adv	407	+	900.6	115
	general	Adj	33	-	898.5	250
	settlement	NoC	2	-	895.5	150
	part	NoC	156	-	885.7	491
	for	Prep	5366	-	883.6	6837
	girl	NoC	295	+	881.1	61
	okay*	Adv	618	-	871.6	1177
	district	NoC	13	-	865.2	189
	shut	Verb	220	+	861.0	30
	quid	NoC	212	+	854.6	28
	management	NoC	7	-	854.2	166
	bought	Verb	348	+	850.7	89
	darling	NoC	130	+	849.0	3
	out	Adv	2846	+	844.0	1954
	are	Verb	3929	-	837.7	5166
	them	Pron	3737	+	834.9	2707
	being	Verb	370	-	834.8	814
	hell	NoC	234	+	829.1	38
	says	Verb	1038	+	828.9	537
	Christmas	NoC	345	+	824.5	91
	C / c	Lett	217	-	824.1	577
	region	NoC	4	-	822.7	150
	there	Ex	3390	-	816.8	4530
	level	NoC	39	-	814.3	249
	budget	NoC	12	-	811.5	177
	your	Det	3435	+	809.7	2465
	really	Adv	2175	+	808.9	1420
	dinner	NoC	198	+	808.1	25
	percent	NoC	81	-	805.8	337
	women	NoC	81	-	804.9	336
	trade	NoC	18	-	793.3	192
	da	Uncl	145	+	790.5	8
	hair	NoC	222	+	787.0	36
	lord	NoC	26	-	784.5	212
	war	NoC	45	-	781.7	256
	number	NoC	299	-	773.8	690
	kind	NoC	109	-	771.8	381
	watch	Verb	275	+	770.4	61
	tape	NoC	261	+	769.1	55
	particularly	Adv	36	-	768.2	234
	home	Adv	436	+	766.1	148
	system	NoC	57	-	764.9	279
	X / x	Lett	21	-	764.7	194
	never	Adv	978	+	762.3	510
