speaker	start	end	rank	text
MIO086 	26.58	30.84	0.193050193050193 I haven't come back of the lunch I hope a very good lunch 	
MIO086 	32.34	32.78	0.194980694980695 To do that 	
MIO086 	35.56	38.42	0.196911196911197 For uh this meeting domain i didn't okay 	
MIO086 	38.42	38.88	0.198841698841699 uh 	
MIO086 	38.88	40.47	0.200772200772201 to discuss about the 	
MIO086 	41.88	44.17	0.162162162162162 Conceptual design meeting 	
MIO086 	46.89	47.33	0.202702702702703 Okay 	
MIO086 	47.33	49.51	0.204633204633205 and the agenda will be 	
MIO086 	52.67	54.55	0.206563706563707 Double opening and uh 	
MIO086 	54.55	55.68	0.208494208494208 that's uh 	
MIO086 	55.68	60.55	0.21042471042471 the project manager or secretary that's me and the the the presentations from the christian 	
MIO086 	61.25	62.01	0.212355212355212 And the 	
MIO086 	64.18	64.93	0.214285714285714 Agnes 	
MIO086 	65.83	66.87	0.216216216216216 And then you see it 	
MIO086 	68.89	70.67	0.218146718146718 And finally in this meeting we 	
MIO086 	71.19	72.05	0.22007722007722 decide 	
MIO086 	73.55	77.16	0.137065637065637 And we have to take a decision on the remote control 	
MIO086 	78.81	79.6	0.222007722007722 Concepts 	
MIO086 	80.42	82.76	0.223938223938224 And uh oh the functional design 	
MIO086 	83.66	85.15	0.225868725868726 So we all forty minutes 	
MIO086 	85.93	87.23	0.227799227799228 I think it's uh 	
MIO086 	89.26	90.36	0.22972972972973 It a bit uh 	
MIO086 	90.36	92.73	0.231660231660232 no but i i hope we can finish it up 	
MIO086 	93.48	95.36	0.233590733590734 So i'll hand go to the 	
MIO086 	97.17	99.65	0.235521235521236 The functionality into the christian okay 	
MIO086 	99.65	103.13	0.083011583011583 to discuss about the the components Concept 	
FIE073 	104.19	104.58	0.237451737451737 Okay 	
FIE073 	105.59	109.78	0.239382239382239 So uh if you could open the powerpoint presentation 	
FIE073 	110.45	111.55	0.241312741312741 And number two 	
MIO086 	111.67	112.95	0.243243243243243 Mm but to 	
MIO086 	117.43	117.73	0.245173745173745 "'kay" 	
FIE073 	121.52	122.73	0.0849420849420849 Components design 	
FIE073 	123.41	123.66	0.247104247104247 Okay 	
FIE073 	127.64	129.58	0.11003861003861 to put the slideshow moment 	
MIO086 	131.01	131.83	0.249034749034749 The next alright 	
FIE073 	131.61	132.04	0.250965250965251 Right here 	
FIE073 	132.93	134.81	0.252895752895753 Is that that one yes please 	
FIE073 	135.29	135.59	0.254826254826255 Thank you 	
FIE073 	136.46	137.55	0.256756756756757 Oh yes 	
FIE073 	140.03	141.47	0.258687258687259 So well um 	
FIE073 	143.91	152.64	0.00772200772200772 We were looking you specifically uh the components so that the following components Not the case the power supply 	
FIE073 	153.52	153.93	0.260617760617761 Uh 	
FIE073 	153.93	157.53	0.262548262548263 means of communications with the television set 	
FIE073 	158.09	166.83	0.129343629343629 And then since we talked about using some sort of speech recognition have to have mike from all made an extra hum have to have mike found in the device 	
FIE073 	167.33	168.37	0.264478764478765 But um 	
FIE073 	169.07	170.55	0.266409266409266 Maybe to have it uh 	
FIE073 	170.97	175.71	0.268339768339768 A way it has to pass to here at the speaker And um 	
FIE073 	175.71	180.35	0.111969111969112 so it could be in the television set could be in the device but Summary have to put the microphone 	
FIE073 	180.89	181.63	0.27027027027027 Um 	
FIE073 	181.63	186.73	0.175675675675676 and a way of making beeps or sounds you can find it when it gets lost 	
FIE073 	187.12	187.79	0.272200772200772 Um 	
FIE073 	187.79	192.26	0.274131274131274 so the other one thing that we sort Are method For 	
FIE073 	192.95	197.88	0.276061776061776 One about this as we've looked at uh of the store it it's torque or record what's work hasn't 	
FIE073 	198.37	200.25	0.277992277992278 And then we also um 	
MIE085 	198.51	198.99	0.27992277992278 Mm 	
FIE073 	200.72	206.04	0.055984555984556 One to evaluate some new materials and we contacted manufacturing for their input because 	
FIE073 	206.44	207.12	0.281853281853282 Course stream 	
FIE073 	207.58	217.61	0.0579150579150579 Might come up and choose the material that then manufacturing didn't have the technologies capabilities to offer us so well this is the approach that which uh during our um 	
FIE073 	217.61	218.51	0.283783783783784 our research 	
FIE073 	219.88	220.85	0.285714285714286 So um 	
FIE073 	220.85	222.15	0.287644787644788 for the case 	
FIE073 	222.46	223.3	0.28957528957529 Um 	
FIE073 	223.3	233.37	0.0115830115830116 we at all we were making a specification specific assumption that it would be curved and design course now i wanted it to be expendable and shrink a ball but 	
FIE073 	233.83	234.92	0.291505791505791 Um 	
FIE073 	234.92	239.29	0.293436293436293 that that doesn't seem to be one of the year choice not option we can 	
FIE073 	239.91	241.84	0.295366795366795 We can really serious the explorer 	
FIE073 	242.41	244.42	0.297297297297297 So then we were thinking about um 	
FIE073 	244.42	246.39	0.299227799227799 rubber but um 	
FIE073 	246.99	250.26	0.301158301158301 Unfortunately that's gonna because of the sheets uh 	
FIE073 	250.26	251.94	0.303088803088803 factor and um 	
FIE073 	251.94	252.5	0.305019305019305 that might be some 	
FIE073 	253.03	255.63	0.306949806949807 Problems with them uh how it's 	
FIE073 	257.04	258.73	0.308880308880309 It goes with the board 	
FIE073 	260.13	260.72	0.310810810810811 Uh 	
FIE073 	260.72	270.83	0.312741312741313 and uh then plastic also has its problems melt saying and it's brittle it is brittle laughter while so i'm still had thai titanium and and what available  
MIE085 	261.06	261.24	0.314671814671815 Mm 	
FIE073 	271.23	272.09	0.316602316602317 But um 	
FIE073 	272.09	273.99	0.318532818532819 unfortunately uh 	
